NOTE: This will not be used for training
img,dir,num bees,num female,num male,num unknown
ID_2_2021-06-03_16-04-02.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,0,0,1
ID_2_2021-06-10_10-10-16.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-25_12-15-04.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-03_15-53-18.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,3,0,0
ID_2_2021-06-06_09-16-35.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-01_12-57-13.xml,data/Raw data/Pictures LE/pictures_hive2/labels,8,4,0,4
ID_2_2021-06-06_09-31-23.xml,data/Raw data/Pictures LE/pictures_hive2/labels,4,4,0,0
ID_2_2021-06-02_20-46-44.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-31_13-20-34.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-03_18-52-03.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-03_19-44-07.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-06-03_13-50-57.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-05-24_15-05-26.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-06_09-06-09.xml,data/Raw data/Pictures LE/pictures_hive2/labels,5,5,0,0
ID_2_2021-05-28_11-04-44.xml,data/Raw data/Pictures LE/pictures_hive2/labels,5,2,0,3
ID_2_2021-06-07_17-21-27.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,3,0,0
ID_2_2021-05-24_11-04-37.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,1,0,1
ID_2_2021-06-03_12-57-26.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-31_07-46-29.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-06-06_16-48-47.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,3,0,0
ID_2_2021-06-07_10-13-24.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-24_10-54-08.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,0,0,3
ID_2_2021-06-06_09-52-03.xml,data/Raw data/Pictures LE/pictures_hive2/labels,8,8,0,0
ID_2_2021-05-25_18-34-47.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,1,0,1
ID_2_2021-05-26_14-10-30.xml,data/Raw data/Pictures LE/pictures_hive2/labels,15,11,0,4
ID_2_2021-05-24_11-15-09.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,0,0,1
ID_2_2021-05-26_15-51-52.xml,data/Raw data/Pictures LE/pictures_hive2/labels,4,2,0,2
ID_2_2021-06-03_09-49-37.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,3,0,0
ID_2_2021-06-03_19-12-49.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-05-30_10-19-47.xml,data/Raw data/Pictures LE/pictures_hive2/labels,4,1,0,3
ID_2_2021-05-30_17-17-21.xml,data/Raw data/Pictures LE/pictures_hive2/labels,14,7,0,7
ID_2_2021-05-27_13-08-08.xml,data/Raw data/Pictures LE/pictures_hive2/labels,5,1,0,4
ID_2_2021-06-06_08-03-04.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-25_11-21-14.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,1,0,1
ID_2_2021-05-31_14-37-04.xml,data/Raw data/Pictures LE/pictures_hive2/labels,4,4,0,0
ID_2_2021-06-08_12-57-55.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-05-31_08-07-17.xml,data/Raw data/Pictures LE/pictures_hive2/labels,4,4,0,0
ID_2_2021-06-06_08-34-46.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-06_12-23-03.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,1,1,0
ID_2_2021-06-01_09-29-38.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-30_08-47-47.xml,data/Raw data/Pictures LE/pictures_hive2/labels,5,3,0,2
ID_2_2021-06-07_12-39-31.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-06-07_12-08-13.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-05-28_14-31-25.xml,data/Raw data/Pictures LE/pictures_hive2/labels,6,3,0,3
ID_2_2021-05-25_10-38-00.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-05-31_10-42-54.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,3,0,0
ID_2_2021-05-30_16-04-03.xml,data/Raw data/Pictures LE/pictures_hive2/labels,7,5,1,1
ID_2_2021-06-06_12-33-37.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-06-10_15-20-57.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,1,1,0
ID_2_2021-05-31_13-43-50.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-06-07_18-46-18.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-06-03_11-43-57.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
ID_2_2021-06-03_17-38-46.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-05-27_16-00-41.xml,data/Raw data/Pictures LE/pictures_hive2/labels,11,2,0,9
ID_2_2021-05-27_17-05-15.xml,data/Raw data/Pictures LE/pictures_hive2/labels,8,6,0,2
ID_2_2021-06-09_16-30-50.xml,data/Raw data/Pictures LE/pictures_hive2/labels,3,3,0,0
ID_2_2021-06-02_10-30-47.xml,data/Raw data/Pictures LE/pictures_hive2/labels,2,2,0,0
ID_2_2021-05-24_09-12-37.xml,data/Raw data/Pictures LE/pictures_hive2/labels,1,1,0,0
